"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUNG"
3,"H",5,2500,3,13,1000000,999480,51,1,1,2,1,1,3,1,2,0,130,2,2,3,3,220,600,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,60000,2,2,7,0,0,0,0,0,1,4,66000,0,4,4,4,1,1,1,5,0,0,0,0,0,4,0,1,0,0,1,0,1,229,0,0,0,9,0,0,0,0
38,"H",5,1305,3,13,1000000,999480,86,4,1,1,0,1,4,2,2,0,200,2,2,30,1,450,0,2,1100,1,1,1,12,0,0,1,1,0,1,1,1,1,0,180000,2,430,7,1,70000,2,0,0,1,1,70000,0,2,2,2,1,1,1,3,2,4,0,0,2,24,0,1,0,1,0,0,1,1404,3,0,1,32,2,1,1,34338
43,"H",5,2000,3,13,1000000,999480,72,2,1,2,1,1,3,2,2,0,300,2,2,2,1,700,0,0,0,0,3,1,8,0,0,1,1,0,1,1,2,1,0,250000,2,300,7,4,105300,4,0,0,1,1,105300,0,4,4,4,1,1,1,5,0,2,0,0,0,6,0,1,0,0,2,2,1,483,0,0,1,24,0,9,9,0
101,"H",5,1107,3,13,1000000,999480,90,2,1,0,0,1,2,4,0,0,40,2,2,140,1,0,0,0,0,0,0,1,4,2,600,1,1,0,1,1,3,1,0,0,0,650,4,0,0,0,834,20,1,5,50000,0,4,4,4,1,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,84973
171,"H",5,3500,3,13,1000000,999480,69,1,1,0,0,1,2,6,0,100,130,2,2,2,3,150,0,2,760,1,1,1,4,0,0,1,1,0,1,1,1,1,0,115000,1,300,10,0,0,0,0,0,1,6,30000,0,4,4,4,1,1,1,1,0,0,0,0,0,41,0,1,0,0,0,0,1,1028,3,0,0,24,0,0,0,0
183,"H",5,1402,3,13,1000000,999480,114,2,1,1,0,1,3,2,2,0,90,2,2,30,1,0,0,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,9300,1,360,7,4,40900,4,0,0,1,1,40900,0,4,4,4,1,1,1,5,0,2,0,0,0,5,0,1,0,0,2,2,1,187,0,0,1,10,0,9,9,21935
253,"H",5,1303,3,13,1000000,999480,223,3,1,0,0,1,2,6,0,0,110,2,2,50,1,0,0,0,0,0,0,1,4,2,610,1,1,0,1,1,3,1,0,0,0,180,3,7,29600,2,785,32,3,3,29600,0,2,2,2,1,1,1,1,1,3,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,2,14,13,37413
254,"H",5,200,3,13,1000000,999480,69,2,1,1,0,1,3,2,2,0,250,2,2,4,1,500,0,1,1100,1,1,1,7,0,0,1,1,0,1,1,1,1,0,180000,1,160,4,0,0,0,0,0,1,7,80030,0,4,4,4,1,1,1,5,0,0,0,1,0,20,0,1,0,0,1,0,1,1367,3,0,1,22,0,0,0,3690
276,"H",5,1501,3,13,1000000,999480,51,2,1,1,0,1,3,3,2,0,110,2,2,90,1,360,0,2,1300,2,1,1,7,0,0,1,1,0,1,1,1,1,0,130000,2,100,7,4,110600,4,0,0,1,1,110600,0,4,4,4,1,1,1,4,0,2,0,0,0,18,0,1,0,0,2,2,1,1692,3,0,1,30,1,8,9,52993
439,"H",5,3800,3,13,1000000,999480,68,1,1,2,1,1,2,2,2,0,160,2,2,50,1,400,0,2,460,2,1,1,6,0,0,1,1,0,1,1,1,1,0,80000,1,200,5,0,0,0,0,0,1,4,52000,0,4,4,4,1,1,1,7,0,0,0,0,0,18,0,1,0,0,1,0,2,770,3,0,1,14,0,0,0,24805
508,"H",5,800,3,13,1000000,999480,88,3,1,1,0,1,3,2,2,0,110,2,2,3,3,1800,0,2,1700,2,1,1,6,0,0,1,1,0,1,1,1,1,0,4e+05,2,480,8,1,111500,2,0,0,1,1,111500,0,2,2,2,1,1,1,4,1,3,0,0,1,24,0,1,0,1,0,0,1,2250,3,0,1,42,2,1,1,0
636,"H",5,1305,3,13,1000000,999480,244,4,1,1,0,1,4,2,2,0,180,2,2,40,1,550,0,2,1100,1,1,1,8,0,0,1,1,0,1,1,1,1,0,2e+05,2,630,7,1,200100,3,0,0,1,1,200100,0,3,3,3,1,1,1,4,2,4,0,0,2,9,0,1,0,1,0,0,2,1419,3,0,1,24,2,1,1,37823
649,"H",5,4100,3,13,1000000,999480,26,2,1,1,0,1,3,2,2,0,60,1,2,2,1,0,0,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,50000,3,180,2,8,28800,4,0,0,1,3,28800,0,4,4,4,1,1,1,5,0,2,0,0,0,3,0,1,0,0,1,0,2,75,0,0,1,1,1,15,15,0
680,"H",5,3400,3,13,1000000,999480,64,2,1,1,0,1,2,3,2,80,70,2,2,3,3,0,0,0,0,0,3,1,7,0,0,1,1,0,1,1,2,1,0,175000,2,1000,8,1,38800,4,0,0,1,1,38800,0,4,4,4,1,1,1,4,0,2,0,0,0,12,0,1,0,0,1,0,1,380,0,0,1,29,1,3,4,0
752,"H",5,1201,3,13,1000000,999480,86,2,1,1,0,1,4,2,2,0,140,2,2,120,1,5400,0,2,1800,2,1,1,10,0,0,1,1,1100,1,1,1,1,0,1e+06,2,1500,1,2,225000,4,0,0,1,1,225000,0,4,4,4,1,1,1,7,0,2,0,0,0,24,0,1,0,0,2,2,1,4443,2,0,1,66,1,6,3,90815
788,"H",5,1800,3,13,1000000,999480,97,2,1,2,1,1,4,2,2,0,270,2,200,3,3,2300,0,0,0,0,3,1,6,0,0,1,1,0,1,1,2,1,0,450000,3,720,6,4,66650,4,0,0,1,1,66650,0,4,4,4,1,1,1,6,0,2,0,0,0,14,0,1,0,0,2,2,1,772,0,0,1,39,0,9,9,0
814,"H",5,3300,3,13,1000000,999480,92,6,1,1,0,1,3,2,2,0,220,2,2,3,3,0,0,0,0,0,0,1,5,2,260,1,1,0,1,1,3,1,0,0,2,960,4,7,61000,3,560,11,1,3,61000,0,3,3,3,1,1,1,4,5,6,0,0,5,0,0,1,0,1,0,0,2,0,0,1,0,0,1,13,13,0
831,"H",5,600,3,13,1000000,999480,84,2,1,2,1,1,4,2,2,0,190,2,2,30,1,0,0,0,0,0,0,1,9,2,1600,1,1,0,1,1,3,1,0,0,2,760,1,2,85200,4,1883,27,1,1,85200,0,4,4,4,1,1,1,3,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,2,4,3,32288
865,"H",5,1800,3,13,1000000,999480,49,1,1,1,0,1,3,2,2,0,170,2,2,3,3,750,0,0,0,0,3,1,4,0,0,1,1,0,1,1,2,1,0,280000,1,360,5,0,0,0,0,0,3,6,16700,0,4,4,4,1,1,1,7,0,0,0,0,0,20,0,1,0,0,1,1,1,281,0,0,1,6,0,0,0,0
911,"H",5,2500,3,13,1000000,999480,37,1,1,1,0,1,3,3,2,210,50,2,2,100,1,750,0,2,1400,1,1,1,7,0,0,1,1,0,1,1,1,1,0,240000,1,1,10,0,0,0,0,0,1,6,36400,0,4,4,4,1,1,1,2,0,0,0,0,0,60,0,1,0,0,1,0,1,1823,3,0,1,13,0,0,0,60885
919,"H",5,1102,3,13,1000000,999480,77,4,1,2,1,1,4,2,2,200,120,2,2,110,1,480,0,1,1200,1,1,1,17,0,0,1,1,1100,1,1,1,1,0,65000,2,1000,7,1,85000,2,0,0,1,1,85000,0,3,3,3,1,1,1,5,2,4,0,0,2,40,0,1,0,1,0,0,1,2813,2,0,1,27,2,2,1,69495
986,"H",5,800,3,13,1000000,999480,90,5,1,2,1,1,7,2,2,0,140,2,2,40,1,1900,0,1,1400,1,1,1,13,0,0,1,1,200,1,1,1,1,0,450000,4,50,8,2,124000,2,0,0,1,1,124000,0,2,2,2,1,1,1,4,2,5,0,0,2,17,0,1,0,1,0,0,1,1784,2,0,1,46,3,2,3,39463
1108,"H",5,4100,3,13,1000000,999480,56,1,1,2,1,1,1,1,2,0,160,2,2,300,3,0,0,0,0,0,3,1,3,0,0,1,1,0,1,1,2,1,0,20000,1,380,5,0,0,0,0,0,1,4,6600,0,4,4,4,1,1,1,7,0,0,0,0,0,99,0,1,0,0,1,1,2,542,0,0,0,14,0,0,0,15888
1112,"H",5,2400,3,13,1000000,999480,80,3,1,1,0,1,4,2,2,0,130,2,2,50,1,700,0,1,1200,1,1,1,8,0,0,1,1,0,1,1,1,1,0,180000,3,480,7,3,95000,4,0,0,1,1,95000,0,4,4,4,1,1,1,4,0,3,0,0,0,18,0,1,0,0,0,0,1,1420,3,0,1,30,2,3,7,44895
1191,"H",5,3300,3,13,1000000,999480,181,1,1,0,0,1,2,6,0,0,110,2,2,3,3,0,0,0,0,0,0,1,4,2,400,1,1,0,1,2,3,1,0,0,1,2,4,0,0,0,510,101,1,6,5000,0,4,4,4,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
1201,"H",5,1102,3,13,1000000,999480,275,4,1,2,1,1,4,2,2,0,130,2,2,400,1,900,0,2,2900,2,1,1,9,0,0,1,1,0,1,1,1,1,0,6e+05,1,450,7,7,58300,2,0,0,1,3,58300,0,2,2,2,1,1,1,4,3,4,0,0,3,82,0,1,0,1,0,0,2,3960,3,0,1,62,1,13,13,25830
1345,"H",5,1505,3,13,1000000,999480,93,5,1,2,1,1,5,2,2,0,540,2,300,130,1,5400,0,2,6400,2,1,1,14,0,0,1,1,3200,1,1,1,1,0,2405000,2,1700,7,2,386000,2,0,0,1,1,386000,0,2,2,2,1,1,1,4,3,5,0,0,3,37,0,1,0,1,0,0,1,11870,1,0,1,68,1,3,3,120028
1394,"H",5,400,3,13,1000000,999480,30,2,1,1,0,1,4,2,2,0,120,2,2,3,3,500,0,0,0,0,3,1,6,0,0,1,1,0,1,2,2,1,0,2e+05,2,230,12,4,35600,4,0,0,1,1,35600,0,4,4,4,1,1,1,2,0,2,0,0,0,16,0,1,0,0,2,1,1,473,0,0,1,47,0,9,9,0
1406,"H",5,3600,3,13,1000000,999480,55,3,1,1,0,1,3,2,2,0,110,2,2,3,3,630,0,1,1300,1,1,1,6,0,0,1,1,0,1,1,1,1,0,160000,2,60,10,1,92100,1,0,0,1,1,92100,0,1,1,1,1,1,1,3,1,3,0,0,1,18,0,1,0,1,0,0,1,1415,3,0,1,31,2,1,1,0
1417,"H",5,3700,3,13,1000000,999480,74,1,1,1,0,1,3,2,2,0,220,2,2,3,3,2000,0,0,0,0,3,1,7,0,0,1,1,0,1,1,2,1,0,5e+05,1,190,7,0,0,0,0,0,1,6,23800,0,4,4,4,1,1,1,5,0,0,0,0,0,29,0,1,0,0,1,1,1,570,0,0,1,32,0,0,0,0
1420,"H",5,2600,3,13,1000000,999480,73,4,1,1,0,1,3,2,2,0,260,2,2,80,3,0,0,0,0,0,0,1,5,2,450,1,1,0,1,1,3,1,0,0,2,750,4,7,28700,4,853,36,1,3,28700,0,4,4,4,1,1,1,3,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,13,13,59860
1503,"H",5,1800,3,13,1000000,999480,135,4,1,3,1,1,3,1,2,0,150,2,2,3,3,0,0,0,0,0,0,1,5,2,430,1,1,0,1,1,3,1,0,0,2,1,6,2,60000,1,580,12,2,1,60000,0,1,1,1,1,1,1,1,2,4,0,0,2,0,0,1,0,1,0,0,2,0,0,1,0,0,1,7,3,0
1587,"H",5,1305,3,13,1000000,999480,249,4,1,1,0,1,4,2,2,0,200,2,2,370,1,1500,0,1,1300,1,1,1,8,0,0,1,1,610,1,1,1,1,0,280000,2,900,7,1,135000,2,0,0,1,1,135000,0,2,2,2,1,1,1,3,2,4,0,0,2,23,0,1,0,1,0,0,2,2555,1,0,1,38,2,4,1,30340
1605,"H",5,2100,3,13,1000000,999480,76,6,1,1,0,1,3,1,2,0,90,2,2,1,2,0,0,0,0,0,0,1,6,2,600,1,1,0,1,1,3,1,0,0,2,1,7,2,21500,3,690,39,1,1,21500,0,3,3,3,1,1,1,1,4,6,0,0,4,0,0,1,0,1,0,0,1,0,0,1,0,0,2,4,3,0
1626,"H",5,1505,3,13,1000000,999480,59,4,1,1,0,1,3,3,2,0,50,2,2,70,1,500,0,1,950,1,1,1,4,0,0,1,1,100,1,1,1,1,0,140000,2,1,8,2,90000,1,0,0,4,1,90000,0,1,1,1,1,2,1,3,2,4,0,0,2,16,0,1,0,1,0,0,1,1170,2,0,1,22,1,3,3,45203
1631,"H",5,2500,3,13,1000000,999480,66,4,1,2,1,1,3,1,2,0,200,2,2,3,3,0,30,0,0,0,3,1,7,0,0,1,1,0,1,1,2,1,0,5e+05,0,2,5,4,12200,2,0,0,1,1,12200,0,2,2,2,1,1,1,5,2,4,0,0,2,20,0,1,0,1,0,0,1,203,0,0,0,1,0,9,9,0
1669,"H",5,500,3,13,1000000,999480,89,1,1,0,0,1,2,6,0,0,30,2,2,2,8,0,0,0,0,0,0,1,4,2,570,1,1,0,1,1,3,1,0,0,1,1,2,0,0,0,600,38,1,6,19000,0,4,4,4,1,1,1,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1685,"H",5,300,3,13,1000000,999480,67,1,1,1,0,1,3,2,2,0,130,2,1800,30,3,360,0,1,870,1,1,1,5,0,0,1,1,0,1,1,1,1,0,135000,1,360,7,0,0,0,0,0,1,4,67850,0,4,4,4,1,1,1,3,0,0,0,0,0,21,0,1,0,0,1,1,1,1210,3,0,1,17,0,0,0,27163
1699,"H",5,1900,3,13,1000000,999480,71,4,1,2,1,1,3,2,2,0,250,2,2,150,1,1100,0,2,900,2,1,1,7,0,0,1,1,200,1,1,1,1,0,250000,3,650,5,3,1e+05,2,0,0,1,1,100000,0,2,2,2,1,1,1,7,2,4,0,0,2,21,0,1,0,1,0,0,1,1763,2,0,1,26,1,7,7,83435
1796,"H",5,500,3,13,1000000,999480,86,2,1,0,0,1,2,6,0,0,60,2,2,3,3,0,0,0,0,0,0,1,3,2,680,1,1,0,1,1,3,1,0,0,2,720,5,0,0,0,800,101,1,7,7200,0,4,4,4,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1799,"H",5,300,3,13,1000000,999480,76,3,1,2,1,1,2,2,2,0,120,1,2,3,3,0,0,2,210,2,1,1,4,0,0,1,1,0,1,1,1,1,0,11000,1,2,5,2,680,2,0,0,1,1,680,0,2,4,2,1,1,1,5,0,3,0,0,1,101,0,1,0,1,0,0,1,344,3,0,1,5,0,9,6,0
1865,"H",5,1101,3,13,1000000,999480,57,2,1,1,0,1,4,2,2,0,250,2,2,60,1,900,0,0,0,0,3,1,9,0,0,1,1,0,1,1,2,1,0,190000,2,1000,8,4,74000,4,0,0,1,1,74000,0,4,4,4,1,1,1,4,0,2,0,0,0,14,0,1,0,0,2,2,2,885,0,0,1,62,0,9,9,57708
1912,"H",5,1304,3,13,1000000,999480,125,2,1,1,0,1,4,2,2,0,60,2,2,80,1,500,0,0,0,0,3,1,8,0,0,1,1,0,1,1,2,1,0,3e+05,2,40,5,4,0,4,0,0,1,1,0,0,4,4,4,1,1,1,7,0,2,0,0,0,0,0,1,0,0,2,2,1,235,0,0,1,14,0,9,9,61603
2020,"H",5,1505,3,13,1000000,999480,237,2,1,0,0,1,2,8,0,0,100,2,2,3,3,0,0,0,0,0,0,1,8,2,950,1,1,0,1,1,3,1,0,0,1,1,8,5,40000,4,1050,32,4,2,40000,0,4,4,4,1,1,1,3,0,2,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,1,10,10,0
2033,"H",5,1201,3,13,1000000,999480,232,5,1,0,0,1,2,6,0,0,90,2,2,80,1,0,0,0,0,0,0,1,4,2,750,1,1,0,1,1,3,1,0,0,2,180,4,1,60000,3,935,19,2,1,60000,0,3,3,3,1,1,1,1,3,5,0,0,3,0,0,1,0,1,0,0,2,0,0,1,0,0,2,1,1,78003
2053,"H",5,2000,3,13,1000000,999480,90,3,1,1,0,1,3,2,2,0,70,2,2,220,1,610,0,0,0,0,3,1,8,0,0,1,1,0,1,1,2,1,0,220000,2,790,6,1,106700,4,0,0,1,1,106700,0,4,4,4,1,1,1,6,0,3,0,0,0,7,0,1,0,0,2,1,1,618,0,0,1,37,2,4,1,258710
2078,"H",5,1304,3,13,1000000,999480,148,4,1,1,0,1,4,2,2,0,70,2,2,60,1,750,0,1,1700,1,1,1,8,0,0,1,1,0,1,1,1,1,0,2e+05,2,550,8,1,90000,1,0,0,1,1,90000,0,1,1,1,1,1,1,4,2,4,0,0,2,25,0,1,0,1,0,0,2,1876,3,0,1,36,2,1,1,46023
2112,"H",5,1502,3,13,1000000,999480,76,4,1,2,1,1,7,2,2,0,140,2,2,100,1,800,0,1,1700,1,1,1,9,0,0,1,1,100,1,1,1,1,0,280000,2,70,7,2,105000,2,0,0,3,1,105000,0,3,3,3,1,1,1,3,2,4,0,0,2,23,0,1,0,1,0,0,1,2046,2,0,1,32,1,3,3,84256
2166,"H",5,1800,3,13,1000000,999480,80,2,1,1,0,1,3,1,2,0,80,2,2,70,1,680,0,0,0,0,3,1,8,0,0,1,1,0,1,1,2,1,0,25000,2,420,5,1,45800,4,0,0,1,1,45800,0,4,4,4,1,1,1,7,0,2,0,0,0,6,0,1,0,0,1,0,1,242,0,0,0,1,2,2,1,53505
2241,"H",5,500,3,13,1000000,999480,83,1,1,0,0,1,2,8,0,0,140,2,2,3,3,0,0,0,0,0,0,1,5,2,630,1,1,0,1,1,3,1,0,0,2,1,5,0,0,0,770,16,1,4,57400,0,4,4,4,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2269,"H",5,1104,3,13,1000000,999480,84,1,1,0,0,1,1,9,0,0,2,1,2,3,3,0,0,0,0,0,0,1,3,2,190,1,1,0,1,1,3,1,0,0,0,2,5,0,0,0,190,14,1,6,16000,0,4,4,4,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2280,"H",5,600,3,13,1000000,999480,115,2,1,1,0,1,3,2,2,0,160,2,2,3,3,700,0,2,800,1,1,1,5,0,0,1,1,0,1,1,1,1,0,80000,2,30,5,7,48000,4,0,0,1,3,48000,0,4,4,4,1,1,1,4,0,2,0,0,0,26,0,1,0,0,0,0,1,1021,3,0,1,28,2,13,13,0
2423,"H",5,1505,3,13,1000000,999480,330,1,1,0,0,1,2,6,0,0,50,2,2,50,1,0,0,0,0,0,0,1,4,2,760,1,1,0,1,1,3,1,0,0,1,360,6,0,0,0,890,38,1,6,28000,0,4,4,4,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,26137
2471,"H",5,1107,3,13,1000000,999480,43,3,1,1,0,1,3,2,2,0,120,1,2,70,1,400,0,1,1000,1,1,1,6,0,0,1,1,0,1,1,1,1,0,150000,1,780,10,7,38600,4,0,0,1,3,38600,0,4,4,4,1,1,1,3,0,3,0,0,0,39,0,1,0,0,1,1,2,1255,3,0,1,29,1,13,13,57913
2497,"H",5,1305,3,13,1000000,999480,46,3,1,1,0,1,3,2,2,0,80,2,2,50,3,600,0,2,350,2,1,1,8,0,0,1,1,0,1,1,1,1,0,160000,2,30,7,1,101000,2,0,0,2,1,101000,0,1,1,1,1,1,1,3,1,3,0,0,1,8,0,1,0,1,0,0,1,658,3,0,1,27,2,2,2,2563
2634,"H",5,1305,3,13,1000000,999480,74,2,1,1,0,1,4,2,2,50,80,2,2,150,1,300,0,1,1500,1,1,1,7,0,0,1,1,250,1,1,1,1,0,250000,2,30,8,1,104000,4,0,0,2,1,104000,0,4,4,4,1,1,1,4,0,2,0,0,0,23,0,1,0,0,0,0,1,2033,2,0,1,42,2,2,4,119208
2685,"H",5,1401,3,13,1000000,999480,173,5,1,1,0,1,3,2,2,0,300,1,2,100,1,0,0,0,0,0,0,1,6,2,700,1,1,0,1,1,3,1,0,0,1,720,4,8,1200,1,1160,101,2,3,1200,0,1,1,1,1,2,1,3,4,5,0,0,4,0,0,1,0,1,0,0,2,0,0,1,0,0,0,15,15,60988
2705,"H",5,3100,3,13,1000000,999480,123,1,1,0,0,1,2,4,0,0,50,2,2,2,3,0,0,0,0,0,0,1,4,2,330,1,1,0,1,1,3,1,0,0,2,40,5,0,0,0,383,19,1,4,24000,0,4,4,4,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2718,"H",5,1303,3,13,1000000,999480,183,1,1,0,0,1,1,6,0,0,80,2,2,40,1,0,0,0,0,0,0,1,5,2,850,1,1,0,1,1,3,1,0,0,1,1,6,0,0,0,970,19,1,6,60000,0,4,4,4,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,53095
2857,"H",5,700,3,13,1000000,999480,28,2,1,2,1,1,2,2,2,0,150,2,2,200,1,600,0,0,0,0,3,1,6,0,0,1,1,0,1,1,2,1,0,2e+05,2,190,6,3,89500,4,0,0,1,1,89500,0,4,4,4,1,1,1,5,0,2,0,0,0,6,0,1,0,0,2,1,1,449,0,0,1,10,1,7,7,115005
2897,"H",5,800,3,13,1000000,999480,246,1,1,1,0,1,3,2,2,0,60,2,2,70,1,0,0,0,0,0,0,1,6,0,0,1,1,0,1,1,4,1,0,0,4,100,8,0,0,0,0,0,1,4,30050,0,4,4,4,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,42333
2983,"H",5,1101,3,13,1000000,999480,98,3,1,0,0,1,2,6,0,0,80,2,2,3,3,0,0,0,0,0,0,1,3,2,1000,1,1,0,1,1,3,1,0,0,2,40,7,2,102500,1,1083,13,4,1,102500,0,1,1,1,1,1,1,1,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,3,3,0
3062,"H",5,600,3,13,1000000,999480,184,4,1,1,0,1,4,2,2,0,280,2,2,3,3,460,0,1,550,1,1,1,7,0,0,1,1,0,1,1,1,1,0,110000,4,360,3,2,43000,2,0,0,2,1,43000,0,2,2,2,1,1,1,5,2,4,0,0,2,24,0,1,0,1,0,0,2,860,3,0,1,11,1,3,3,0
3063,"H",5,3800,3,13,1000000,999480,57,3,1,1,0,1,3,2,2,0,180,2,2,3,3,400,0,1,1000,1,1,1,5,0,0,1,1,0,1,1,1,1,0,120000,3,2,7,1,85000,2,0,0,1,1,85000,0,2,2,2,1,1,1,5,1,3,0,0,1,17,0,1,0,1,0,0,2,1180,3,0,1,24,2,1,1,0
3080,"H",5,1102,3,13,1000000,999480,66,2,1,0,0,1,2,7,0,0,90,2,2,3,3,0,0,0,0,0,0,1,5,2,1000,1,1,0,1,1,3,1,0,0,1,1000,7,8,25000,2,1173,56,5,3,25000,0,2,2,2,1,1,1,1,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,14,15,0
3139,"H",5,400,3,13,1000000,999480,39,1,1,1,0,1,3,2,2,0,100,2,2,3,3,0,0,0,0,0,0,1,6,2,850,1,1,0,1,1,3,1,0,0,1,270,7,0,0,0,973,97,1,6,12000,0,4,4,4,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3143,"H",5,1107,3,13,1000000,999480,153,4,1,1,0,1,4,2,2,0,80,2,2,50,1,0,0,0,0,0,0,1,7,2,1600,1,1,0,1,1,3,1,0,0,2,1000,9,7,63000,2,1813,35,1,3,63000,0,2,2,2,1,1,1,2,2,4,0,0,2,0,0,1,0,1,0,0,2,0,0,1,0,0,2,14,13,30750
3155,"H",5,1502,3,13,1000000,999480,58,2,1,1,0,1,5,2,2,0,100,2,50,260,1,1400,0,1,2200,1,1,1,8,0,0,1,1,0,1,1,1,1,0,425000,2,1300,9,2,225000,4,0,0,1,1,225000,0,4,4,4,1,1,1,3,0,2,0,0,0,14,0,1,0,0,0,0,1,2672,3,0,1,58,1,7,3,260350
3198,"H",5,3700,3,13,1000000,999480,55,5,1,1,0,1,4,3,2,0,220,2,2,3,3,200,0,1,860,1,1,1,7,0,0,1,1,0,1,1,1,1,0,127000,2,600,11,3,53000,2,0,0,1,1,53000,0,2,2,2,1,1,1,2,3,5,0,0,3,26,0,1,0,1,1,1,2,1130,3,0,1,11,1,3,7,0
3268,"H",5,1402,3,13,1000000,999480,83,4,1,0,0,1,3,9,0,0,100,1,2,3,3,0,0,0,0,0,0,1,5,2,740,1,1,0,1,1,3,1,0,0,1,1,3,7,39900,2,840,25,1,3,39900,0,2,2,2,1,1,1,2,2,4,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,13,14,0
3297,"H",5,1800,3,13,1000000,999480,68,4,1,1,0,1,3,2,2,0,70,2,2,70,1,530,0,1,820,1,1,1,5,0,0,1,1,170,1,1,1,1,0,1e+05,3,410,5,7,53500,2,0,0,1,3,55000,1,2,4,2,1,1,2,5,0,3,0,1,1,25,4,1,1,1,0,0,1,1164,2,0,1,23,2,13,13,39873
3306,"H",5,300,3,13,1000000,999480,96,1,1,2,1,1,3,1,2,0,130,2,230,3,3,870,0,1,650,1,1,1,7,0,0,1,1,0,1,1,1,1,0,90000,1,2,7,0,0,0,0,0,1,6,8800,0,4,4,4,1,1,1,3,0,0,0,0,0,101,0,1,0,0,0,0,1,799,3,0,0,6,0,0,0,0
3357,"H",5,500,3,13,1000000,999480,210,2,1,1,0,1,4,2,2,0,140,2,2,3,3,550,0,2,780,2,1,1,6,0,0,1,1,0,1,1,1,1,0,154000,1,400,9,7,38000,2,0,0,1,3,38000,0,2,2,2,1,1,1,3,1,2,0,0,1,35,0,1,0,1,0,0,2,1124,3,0,1,27,1,13,13,0
3396,"H",5,1503,3,13,1000000,999480,100,4,1,1,0,1,5,2,2,0,150,2,1800,160,1,330,0,1,1400,1,1,1,12,0,0,1,1,20,1,1,1,1,0,3e+05,1,400,7,7,12800,2,0,0,1,3,12800,0,2,2,2,1,1,1,3,3,4,0,0,3,101,0,1,0,1,0,0,1,1913,1,0,1,36,1,14,13,114800
3428,"H",5,1600,3,13,1000000,999480,44,2,1,1,0,1,5,2,2,0,150,2,2,50,3,930,0,1,1700,1,1,1,10,0,0,1,1,0,1,1,1,1,0,250000,2,60,7,1,74000,4,0,0,5,1,74000,0,4,4,4,1,1,1,4,0,2,0,0,0,31,0,1,0,0,0,0,1,1905,3,0,1,37,2,2,1,37515
3561,"H",5,1504,3,13,1000000,999480,166,9,1,1,0,1,3,2,2,0,60,2,2,280,1,0,0,0,0,0,0,1,6,2,850,1,1,0,1,1,3,1,0,0,2,740,5,5,9000,3,1252,35,2,2,43500,0,3,3,3,1,2,1,3,5,6,0,1,5,0,2,1,0,1,0,0,2,0,0,1,0,0,1,11,10,14248
3654,"H",5,2300,3,13,1000000,999480,26,5,1,0,0,1,2,6,0,0,200,2,2,3,3,0,0,0,0,0,0,1,4,2,680,1,1,0,1,1,3,1,0,0,2,1,6,2,43500,3,880,24,1,1,43500,0,3,3,3,1,1,1,2,3,5,0,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,3,3,0
