"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUNG"
120304,"H",5,2000,3,13,1000000,999480,106,1,1,2,1,1,3,2,2,0,200,2,2,3,3,1000,0,2,950,1,1,1,5,0,0,1,1,80,1,1,1,1,0,125000,2,100,6,0,0,0,0,0,1,6,66000,0,4,4,4,1,1,1,5,0,0,0,0,0,24,0,1,0,0,1,1,1,1321,1,0,1,22,0,0,0,0
120402,"H",5,2600,3,13,1000000,999480,12,1,1,2,1,1,3,2,2,0,90,2,2,3,3,300,0,0,0,0,3,1,6,0,0,1,1,0,1,1,2,1,0,80000,1,230,4,0,0,0,0,0,1,6,43000,0,4,4,4,1,1,1,7,0,0,0,0,0,4,0,1,0,0,1,1,1,138,0,0,1,2,0,0,0,0
120458,"H",5,2100,3,13,1000000,999480,80,2,1,2,1,1,4,2,2,0,50,1,1000,3,2,0,0,0,0,0,3,1,9,0,0,1,1,0,1,1,2,1,0,245000,2,230,4,4,12000,4,0,0,1,1,12000,0,4,4,4,1,1,1,7,0,2,0,0,0,17,0,1,0,0,2,1,1,172,0,0,1,6,0,9,9,0
120539,"H",5,3600,3,13,1000000,999480,104,4,1,1,0,1,3,2,2,0,250,2,2,2,3,200,0,1,1300,1,1,1,6,0,0,1,1,0,1,1,1,1,0,194000,2,200,5,7,46300,2,0,0,1,3,46300,0,2,2,2,1,1,1,4,3,4,0,0,3,41,0,1,0,1,0,0,1,1567,3,0,1,27,1,13,13,0
120612,"H",5,1107,3,13,1000000,999480,123,3,1,2,1,1,3,2,2,0,300,2,2,3,3,800,0,1,1000,1,1,1,6,0,0,1,1,0,1,1,1,1,0,145000,3,2,7,1,67000,1,0,0,1,1,67000,0,1,1,1,1,1,1,4,1,3,0,0,1,23,0,1,0,1,0,0,1,1300,3,0,1,1,2,2,1,0
120694,"H",5,700,3,13,1000000,999480,43,4,1,1,0,1,3,2,2,0,150,2,2,3,3,580,0,0,0,0,3,1,5,0,0,1,1,0,1,1,2,1,0,120000,1,600,7,1,51000,3,0,0,2,1,51000,0,3,3,3,1,1,1,2,2,4,0,0,2,8,0,1,0,1,0,0,1,356,0,0,1,25,2,1,1,0
120721,"H",5,800,3,13,1000000,999480,89,2,1,2,1,1,3,2,2,0,280,2,2,3,3,1200,0,1,1200,1,1,1,7,0,0,1,1,0,1,1,1,1,0,218000,2,130,6,1,95500,4,0,0,1,1,95500,0,4,4,4,1,1,1,3,0,2,0,0,0,19,0,1,0,0,0,0,1,1491,3,0,1,29,2,2,4,0
120783,"H",5,4200,3,13,1000000,999480,55,1,1,1,0,1,3,2,2,0,220,2,2,3,3,0,0,0,0,0,0,1,5,2,800,1,1,0,1,1,3,1,0,0,2,40,5,0,0,0,1023,61,1,4,20000,0,4,4,4,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
120797,"H",5,2700,3,13,1000000,999480,220,2,1,1,0,1,4,2,2,0,60,2,2,3,3,500,0,1,990,1,1,1,7,0,0,1,1,50,1,1,1,1,0,180000,2,240,8,2,75000,4,0,0,1,1,75000,0,4,4,4,1,1,1,4,0,2,0,0,0,18,0,1,0,0,1,0,2,1120,2,0,1,28,1,3,3,0
120828,"H",5,300,3,13,1000000,999480,73,2,1,1,0,1,3,2,2,0,140,2,2,3,9,0,0,0,0,0,0,1,5,2,680,1,1,0,1,1,3,1,0,0,1,60,6,7,2200,2,825,101,1,3,2200,0,2,2,2,1,1,1,2,1,2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,14,14,0
120898,"H",5,700,3,13,1000000,999480,49,2,1,1,0,1,3,2,2,0,140,2,2,3,3,500,0,1,1300,1,1,1,5,0,0,1,1,0,1,1,1,1,0,176000,2,240,11,0,0,0,0,0,1,5,35100,0,4,4,4,1,1,1,3,0,0,0,1,0,50,2,1,0,0,0,0,2,1460,3,0,1,27,0,0,0,0
120929,"H",5,3300,3,13,1000000,999480,31,1,1,2,1,1,1,2,2,0,180,2,1400,3,2,0,0,0,0,0,0,1,4,0,0,1,1,0,1,1,4,1,0,0,1,2,1,0,0,0,0,0,1,6,690,0,4,4,4,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
120964,"H",5,1202,3,13,1000000,999480,36,2,1,1,0,1,3,2,2,0,60,2,70,90,3,350,0,2,3000,1,1,1,6,0,0,1,1,0,1,1,1,1,0,420000,2,90,3,1,149500,4,0,0,1,1,149500,0,4,4,4,1,1,1,1,0,2,0,0,0,26,0,1,0,0,0,0,1,3193,3,0,1,32,2,1,1,50225
