"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUEL"
3080,"H",5,1102,3,13,1000000,999480,66,2,1,NA,NA,1,2,7,NA,NA,90,2,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,1000,1,1,NA,1,1,3,1,NA,NA,1,1000,7,8,25000,2,1173,56,5,3,25000,0,2,2,2,1,1,1,1,1,2,0,0,1,NA,0,1,0,1,0,0,1,NA,NA,1,0,NA,1,14,15,28750
3139,"H",5,400,3,13,1000000,999480,39,1,1,1,NA,1,3,2,2,NA,100,2,2,3,3,NA,NA,NA,NA,NA,NA,1,6,2,850,1,1,NA,1,1,3,1,NA,NA,1,270,7,NA,NA,NA,973,97,1,6,12000,0,4,4,4,1,1,1,2,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,47683
3143,"H",5,1107,3,13,1000000,999480,153,4,1,1,NA,1,4,2,2,NA,80,2,2,50,1,NA,NA,NA,NA,NA,NA,1,7,2,1600,1,1,NA,1,1,3,1,NA,NA,2,1000,9,7,63000,2,1813,35,1,3,63000,0,2,2,2,1,1,1,2,2,4,0,0,2,NA,0,1,0,1,0,0,2,NA,NA,1,0,NA,2,14,13,28139
3155,"H",5,1502,3,13,1000000,999480,58,2,1,1,NA,1,5,2,2,NA,100,2,50,260,1,1400,NA,1,2200,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,425000,2,1300,9,2,225000,4,NA,NA,1,1,225000,0,4,4,4,1,1,1,3,0,2,0,0,0,14,0,1,0,0,0,0,1,2672,3,0,1,58,1,7,3,40480
3198,"H",5,3700,3,13,1000000,999480,55,5,1,1,NA,1,4,3,2,NA,220,2,2,3,3,200,NA,1,860,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,127000,2,600,11,3,53000,2,NA,NA,1,1,53000,0,2,2,2,1,1,1,2,3,5,0,0,3,26,0,1,0,1,1,1,2,1130,3,0,1,11,1,3,7,92104
3268,"H",5,1402,3,13,1000000,999480,83,4,1,NA,NA,1,3,9,NA,NA,100,1,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,740,1,1,NA,1,1,3,1,NA,NA,1,1,3,7,39900,2,840,25,1,3,39900,0,2,2,2,1,1,1,2,2,4,0,0,2,NA,0,1,0,1,0,0,1,NA,NA,1,0,NA,1,13,14,38593
3297,"H",5,1800,3,13,1000000,999480,68,4,1,1,NA,1,3,2,2,NA,70,2,2,70,1,530,NA,1,820,1,1,1,5,NA,NA,1,1,170,1,1,1,1,NA,100000,3,410,5,7,53500,2,NA,NA,1,3,55000,1,2,4,2,1,1,2,5,0,3,0,1,1,25,4,1,1,1,0,0,1,1164,2,0,1,23,2,13,13,37170
3340,"H",5,2200,3,13,1000000,999480,23,1,1,NA,NA,1,2,4,NA,NA,90,1,2,100,2,NA,NA,NA,NA,NA,NA,1,5,2,400,1,1,NA,1,1,3,1,NA,NA,0,400,7,NA,NA,NA,623,101,1,6,7000,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,33700
3357,"H",5,500,3,13,1000000,999480,210,2,1,1,NA,1,4,2,2,NA,140,2,2,3,3,550,NA,2,780,2,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,154000,1,400,9,7,38000,2,NA,NA,1,3,38000,0,2,2,2,1,1,1,3,1,2,0,0,1,35,0,1,0,1,0,0,2,1124,3,0,1,27,1,13,13,49532
3396,"H",5,1503,3,13,1000000,999480,100,4,1,1,NA,1,5,2,2,NA,150,2,1800,160,1,330,NA,1,1400,1,1,1,12,NA,NA,1,1,20,1,1,1,1,NA,300000,1,400,7,7,12800,2,NA,NA,1,3,12800,0,2,2,2,1,1,1,3,3,4,0,0,3,101,0,1,0,1,0,0,1,1913,1,0,1,36,1,14,13,59686
3428,"H",5,1600,3,13,1000000,999480,44,2,1,1,NA,1,5,2,2,NA,150,2,2,50,3,930,NA,1,1700,1,1,1,10,NA,NA,1,1,NA,1,1,1,1,NA,250000,2,60,7,1,74000,4,NA,NA,5,1,74000,0,4,4,4,1,1,1,4,0,2,0,0,0,31,0,1,0,0,0,0,1,1905,3,0,1,37,2,2,1,59928
3507,"H",5,300,3,13,1000000,999480,88,2,1,2,1,1,2,2,1,NA,80,2,2,80,2,650,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,250000,2,600,1,4,-2500,4,NA,NA,1,1,-2500,0,4,4,4,1,1,1,5,0,2,0,0,0,NA,0,1,0,0,0,0,1,422,NA,0,0,31,2,5,9,38085
3561,"H",5,1504,3,13,1000000,999480,166,9,1,1,NA,1,3,2,2,NA,60,2,2,280,1,NA,NA,NA,NA,NA,NA,1,6,2,850,1,1,NA,1,1,3,1,NA,NA,2,740,5,5,9000,3,1252,35,2,2,43500,0,3,3,3,1,2,1,3,5,6,0,1,5,NA,2,1,0,1,0,0,2,NA,NA,1,0,NA,1,11,10,20544
3708,"H",5,2100,3,13,1000000,999480,62,2,1,2,1,1,2,2,2,NA,90,2,2,140,1,600,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,65000,3,30,4,4,60300,4,NA,NA,1,1,60300,0,4,4,4,1,1,1,7,0,2,0,0,0,7,0,1,0,0,2,2,1,333,NA,0,1,14,0,9,9,32827
3716,"H",5,1201,3,13,1000000,999480,123,2,1,1,NA,1,2,2,2,NA,80,2,2,30,3,1200,NA,1,1500,1,1,1,5,NA,NA,1,1,260,1,1,1,1,NA,275000,1,1000,2,1,175000,4,NA,NA,1,1,175000,0,4,4,4,1,1,1,3,0,2,0,0,0,13,0,1,0,0,0,0,2,1953,2,0,1,24,2,1,1,36225
3825,"H",5,900,3,13,1000000,999480,74,1,1,3,1,1,2,2,2,NA,60,2,1100,3,2,0,NA,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,110000,1,210,1,NA,NA,NA,NA,NA,1,6,21900,0,4,4,4,1,1,1,7,0,NA,0,0,0,9,0,1,0,0,1,0,1,170,NA,0,0,1,NA,NA,NA,16842
3887,"H",5,1102,3,13,1000000,999480,52,1,1,NA,NA,1,1,5,NA,NA,60,2,2,110,1,NA,NA,NA,NA,NA,NA,1,3,2,640,1,1,NA,1,1,3,1,NA,NA,0,530,5,NA,NA,NA,854,101,1,6,10000,0,4,4,4,1,1,1,1,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,28060
3904,"H",5,1304,3,13,1000000,999480,67,3,1,1,NA,1,5,2,2,NA,120,2,2,2,1,1100,NA,1,830,1,1,1,11,NA,NA,1,1,NA,1,1,1,1,NA,225000,2,970,8,7,68000,4,NA,NA,1,3,68000,0,4,4,4,1,1,2,4,0,3,0,0,0,18,0,1,0,0,1,1,1,1031,3,0,1,16,2,14,13,44400
3920,"H",5,1104,3,13,1000000,999480,198,1,1,NA,NA,1,1,9,NA,130,40,2,2,3,3,400,NA,1,900,1,1,1,3,NA,NA,1,1,200,1,1,1,1,NA,178000,1,1,10,NA,NA,NA,NA,NA,1,4,232000,0,4,4,4,1,1,1,3,0,NA,0,0,0,7,0,1,0,0,0,0,2,1270,1,0,0,28,NA,NA,NA,11270
3972,"H",5,1502,3,13,1000000,999480,86,2,1,1,NA,1,4,2,2,NA,110,2,800,80,1,NA,NA,NA,NA,NA,NA,1,7,2,1100,1,1,NA,1,1,3,1,NA,NA,3,650,5,NA,NA,NA,1411,44,3,7,38800,0,4,4,4,1,1,1,1,0,NA,0,1,0,NA,4,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,41974
3993,"H",5,1204,3,13,1000000,999480,81,2,1,1,NA,1,2,2,2,NA,90,2,2,30,1,1000,NA,1,1200,1,1,1,3,NA,NA,1,1,NA,1,1,1,1,NA,190000,3,360,3,4,30700,4,NA,NA,4,1,30700,0,4,4,4,1,1,1,3,0,2,0,0,0,53,0,1,0,0,2,1,1,1350,3,0,1,46,1,8,9,38279
4032,"H",5,900,3,13,1000000,999480,68,4,1,1,NA,1,4,2,2,NA,220,2,40,3,3,490,NA,1,1000,1,1,1,6,NA,NA,1,1,70,1,1,1,1,NA,150000,2,480,8,2,104000,2,NA,NA,1,1,104000,0,2,2,2,1,1,1,4,2,4,0,0,2,15,0,1,0,1,0,0,1,1333,2,0,1,31,2,2,3,78230
4047,"H",5,800,3,13,1000000,999480,65,3,1,2,1,1,7,2,2,NA,150,2,2,140,1,700,NA,2,2300,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,425000,2,1200,8,1,279800,4,NA,NA,1,1,279800,0,4,4,4,1,1,1,4,0,3,0,0,0,12,0,1,0,0,0,0,1,2748,3,0,1,40,3,1,1,58021
4057,"H",5,1600,3,13,1000000,999480,83,4,1,2,1,1,3,2,2,NA,240,2,2,30,3,1200,NA,NA,NA,NA,3,1,7,NA,NA,1,1,NA,1,1,2,1,NA,375000,2,400,7,1,127000,2,NA,NA,1,1,127000,0,2,2,2,1,1,1,5,2,4,0,0,2,6,0,1,0,1,0,0,1,586,NA,0,1,34,2,2,1,74924
