"SERIALNO","RT","DIVISION","PUMA","REGION","ST","ADJHSG","ADJINC","WGTP","NP","TYPE","ACR","AGS","BATH","BDSP","BLD","BUS","CONP","ELEP","FS","FULP","GASP","HFL","INSP","MHP","MRGI","MRGP","MRGT","MRGX","REFR","RMSP","RNTM","RNTP","RWAT","SINK","SMP","STOV","TEL","TEN","TOIL","VACS","VALP","VEH","WATP","YBL","FES","FINCP","FPARC","GRNTP","GRPIP","HHL","HHT","HINCP","HUGCL","HUPAC","HUPAOC","HUPARC","KIT","LNGI","MULTG","MV","NOC","NPF","NPP","NR","NRC","OCPIP","PARTNER","PLM","PSF","R18","R60","R65","RESMODE","SMOCP","SMX","SRNT","SVAL","TAXP","WIF","WKEXREL","WORKSTAT","BTUEL"
30519,"H",5,4100,3,13,1000000,999480,20,2,1,1,NA,1,2,2,2,NA,230,2,2,3,3,700,NA,2,450,2,1,1,4,NA,NA,1,1,NA,1,1,1,1,NA,40000,3,460,4,3,52000,4,NA,NA,3,1,52000,0,4,4,4,1,1,1,5,0,2,0,0,0,20,0,1,0,0,1,0,2,859,3,0,1,22,1,3,7,73959
30567,"H",5,500,3,13,1000000,999480,74,1,1,2,1,1,3,2,2,NA,210,2,2,3,2,NA,NA,NA,NA,NA,NA,1,6,NA,NA,1,1,NA,1,1,4,1,NA,NA,4,2,4,NA,NA,NA,NA,NA,1,4,48500,0,4,4,4,1,1,1,5,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,66285
30576,"H",5,3000,3,13,1000000,999480,86,1,1,NA,NA,1,1,9,NA,NA,60,2,2,3,3,NA,NA,NA,NA,NA,NA,1,3,2,740,1,1,NA,1,2,3,1,NA,NA,1,1,8,NA,NA,NA,800,15,1,6,65000,0,4,4,4,1,1,1,3,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,20629
30579,"H",5,1700,3,13,1000000,999480,44,3,1,2,1,1,4,2,2,NA,190,2,2,60,3,0,NA,NA,NA,NA,3,1,8,NA,NA,1,1,NA,1,1,2,1,NA,25000,3,60,9,1,186000,2,NA,NA,1,1,186000,0,2,2,2,1,1,1,3,1,3,0,0,1,2,0,1,0,1,0,0,1,330,NA,0,1,20,2,1,1,71348
30609,"H",5,2400,3,13,1000000,999480,54,2,1,1,NA,1,3,2,2,4,120,2,2,3,3,1700,NA,1,1100,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,150000,2,420,12,1,80000,4,NA,NA,1,1,80000,0,4,4,4,1,1,1,2,0,2,0,0,0,19,0,1,0,0,0,0,1,1259,3,0,1,24,2,1,1,38607
30616,"H",5,300,3,13,1000000,999480,74,2,1,2,1,1,3,2,2,NA,150,2,850,50,3,970,NA,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,400000,3,2,7,2,30000,4,NA,NA,1,1,30000,0,4,4,4,1,1,1,5,0,2,0,0,0,18,0,1,0,0,0,0,1,450,NA,0,1,23,1,7,3,51914
30711,"H",5,700,3,13,1000000,999480,93,1,1,3,1,1,2,2,2,NA,70,2,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,350,1,1,NA,1,1,3,1,NA,NA,1,30,1,NA,NA,NA,423,16,1,6,32000,0,4,4,4,1,1,1,3,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,27180
30726,"H",5,1101,3,13,1000000,999480,206,2,1,1,NA,1,4,2,2,NA,140,2,2,160,1,1200,NA,1,2600,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,325000,2,720,7,1,119000,4,NA,NA,1,1,119000,0,4,4,4,1,1,1,4,0,2,0,0,0,30,0,1,0,0,0,0,2,2960,3,0,1,34,2,1,1,47679
30764,"H",5,2100,3,13,1000000,999480,91,2,1,3,1,1,3,1,2,NA,110,2,150,3,2,0,0,1,300,2,1,1,6,NA,NA,1,1,570,1,1,1,1,NA,120000,2,2,5,2,46900,4,NA,NA,1,1,46900,0,4,4,4,1,1,1,6,0,2,0,0,0,28,0,1,0,0,0,0,1,1085,2,0,0,23,1,3,3,61846
30773,"H",5,1600,3,13,1000000,999480,103,5,1,2,1,1,4,2,2,NA,130,2,2,50,1,900,NA,1,1400,1,1,1,10,NA,NA,1,1,400,1,1,1,1,NA,195000,2,480,5,1,76000,2,NA,NA,1,1,76000,0,2,2,2,1,1,1,4,3,5,0,0,3,32,0,1,0,1,0,0,1,2020,2,0,1,37,2,2,1,59458
30791,"H",5,1202,3,13,1000000,999480,86,3,1,1,NA,1,4,2,2,NA,200,2,2,50,1,900,NA,1,1600,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,380000,3,840,6,3,137500,4,NA,NA,4,1,137500,0,4,4,4,1,1,1,5,0,3,0,0,0,17,0,1,0,0,2,0,1,1920,3,0,1,60,2,3,7,54152
30887,"H",5,1201,3,13,1000000,999480,88,3,1,1,NA,1,3,2,2,NA,200,2,2,40,1,1400,NA,2,1500,2,1,1,6,NA,NA,1,1,230,1,1,1,1,NA,361000,2,830,1,3,107410,4,NA,NA,1,1,107410,0,4,4,4,1,1,1,6,0,3,0,0,0,29,0,1,0,0,1,0,1,2593,2,0,1,62,2,5,7,78466
30941,"H",5,2900,3,13,1000000,999480,85,2,1,2,1,1,3,1,2,NA,90,2,1100,100,2,630,0,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,75000,2,600,7,2,32620,4,NA,NA,1,1,32620,0,4,4,4,1,1,1,5,0,2,0,0,0,16,0,1,0,0,2,2,1,448,NA,0,0,17,1,6,3,28466
30946,"H",5,2000,3,13,1000000,999480,18,3,1,1,NA,1,3,2,2,NA,170,2,2,60,1,1000,NA,1,1200,1,1,1,8,NA,NA,1,1,220,1,1,1,1,NA,170000,3,60,7,1,90200,4,NA,NA,1,1,90200,0,4,4,4,1,1,1,4,0,3,0,0,0,22,0,1,0,0,0,0,1,1655,2,0,1,34,3,2,2,49030
30982,"H",5,3700,3,13,1000000,999480,126,2,1,NA,NA,1,3,4,NA,NA,90,2,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,700,1,1,NA,1,1,3,1,NA,NA,2,40,7,1,100500,4,793,9,1,1,100500,0,4,4,4,1,1,1,3,0,2,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,2,1,1,28152
31007,"H",5,1202,3,13,1000000,999480,90,1,1,NA,NA,1,1,9,NA,NA,40,2,2,1,1,NA,NA,NA,NA,NA,NA,1,3,2,680,1,1,NA,1,1,3,1,NA,NA,0,2,5,NA,NA,NA,720,48,1,6,18000,0,4,4,4,1,1,1,5,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,23017
31023,"H",5,1900,3,13,1000000,999480,49,5,1,1,NA,1,4,2,2,NA,120,2,2,80,1,400,NA,1,900,2,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,215000,3,960,11,1,72000,3,NA,NA,1,1,72000,0,3,3,3,1,1,1,3,3,5,0,0,3,22,0,1,0,1,0,0,2,1313,3,0,1,28,2,2,1,55551
31026,"H",5,3800,3,13,1000000,999480,97,1,1,1,NA,1,3,2,2,NA,190,2,2,30,1,600,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,60000,1,1200,1,NA,NA,NA,NA,NA,1,6,29520,0,4,4,4,1,1,1,3,0,NA,0,0,0,17,0,1,0,0,1,1,1,426,NA,0,1,15,NA,NA,NA,89425
31098,"H",5,2400,3,13,1000000,999480,76,2,1,1,NA,1,3,2,2,NA,240,2,420,40,3,450,NA,1,1100,1,1,1,7,NA,NA,1,1,180,1,1,1,1,NA,200000,2,40,8,1,89500,4,NA,NA,1,1,89500,0,4,4,4,1,1,1,4,0,2,0,0,0,21,0,1,0,0,0,0,1,1598,2,0,1,32,2,1,1,77763
31123,"H",5,2500,3,13,1000000,999480,70,2,1,2,1,1,2,2,2,NA,170,2,2,3,3,500,NA,1,530,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,140000,2,2,7,3,19300,4,NA,NA,1,1,19300,0,4,4,4,1,1,1,5,0,2,0,0,0,44,0,1,0,0,2,0,1,700,3,0,1,14,1,7,7,47778
31251,"H",5,2600,3,13,1000000,999480,84,2,1,2,1,1,4,2,2,NA,190,2,2,3,3,600,NA,2,1500,1,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,250000,3,20,9,1,14400,4,NA,NA,4,1,14400,0,4,4,4,1,1,1,3,0,2,0,0,0,101,0,1,0,0,0,0,1,1742,3,0,1,37,2,1,1,62726
31278,"H",5,1102,3,13,1000000,999480,40,3,1,1,NA,1,5,2,2,NA,180,2,2,60,1,700,NA,2,2200,2,1,1,9,NA,NA,1,1,NA,1,1,1,1,NA,650000,3,900,12,1,168920,2,NA,NA,1,1,168920,0,2,2,2,1,1,1,1,1,3,0,0,1,24,0,1,0,1,0,0,1,3323,3,0,1,67,3,2,1,45110
31308,"H",5,1401,3,13,1000000,999480,117,2,1,1,NA,1,4,2,2,NA,60,2,2,210,1,600,NA,2,540,2,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,94000,2,420,5,2,88000,4,NA,NA,1,1,88000,0,4,4,4,1,1,1,5,0,2,0,0,0,13,0,1,0,0,2,0,1,978,3,0,1,22,1,3,3,24580
31364,"H",5,3700,3,13,1000000,999480,99,2,1,NA,NA,1,2,7,NA,NA,110,2,2,3,3,NA,NA,NA,NA,NA,NA,1,5,2,720,1,1,NA,1,1,3,1,NA,NA,1,30,7,NA,NA,NA,833,22,1,5,45000,0,4,4,4,1,1,1,1,0,NA,0,1,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,46277
31453,"H",5,1700,3,13,1000000,999480,77,2,1,1,NA,1,3,2,2,NA,100,2,2,60,3,400,NA,1,830,1,1,1,6,NA,NA,1,1,330,1,1,1,1,NA,118000,1,380,8,2,85400,4,NA,NA,1,1,85400,0,4,4,4,1,1,1,4,0,2,0,0,0,19,0,1,0,0,0,0,1,1352,2,0,1,27,1,7,3,36157
31488,"H",5,200,3,13,1000000,999480,44,2,1,2,1,1,2,2,2,NA,140,2,1200,110,2,1000,NA,NA,NA,NA,3,1,7,NA,NA,1,1,NA,1,1,2,1,NA,175000,4,240,2,1,98100,4,NA,NA,1,1,98100,0,4,4,4,1,1,1,5,0,2,0,0,0,7,0,1,0,0,1,0,1,553,NA,0,1,24,2,1,1,44707
31508,"H",5,1502,3,13,1000000,999480,110,6,1,1,NA,1,4,2,2,NA,300,2,2,3,3,500,NA,NA,NA,NA,3,1,11,NA,NA,1,1,NA,1,1,2,1,NA,130000,2,400,5,1,43000,3,NA,NA,2,1,43000,0,3,3,3,1,1,1,3,4,6,0,0,4,14,0,1,0,1,0,0,1,508,NA,0,1,28,2,4,1,97187
31701,"H",5,300,3,13,1000000,999480,180,3,1,2,1,1,3,2,2,NA,250,2,1000,3,3,400,NA,NA,NA,NA,3,1,7,NA,NA,1,1,NA,1,1,2,1,NA,200000,3,480,1,1,67600,2,NA,NA,1,1,67600,0,2,2,2,1,1,1,5,1,3,0,0,1,7,0,1,0,1,0,0,1,406,NA,0,1,1,2,1,1,86013
31778,"H",5,1201,3,13,1000000,999480,75,2,1,NA,NA,1,2,5,NA,280,80,2,2,1,3,300,NA,1,1000,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,130000,2,1,2,2,54000,4,NA,NA,1,1,54000,0,4,4,4,1,1,1,1,0,2,0,0,0,30,0,1,0,0,0,0,1,1360,3,0,0,39,1,3,3,37430
31793,"H",5,1205,3,13,1000000,999480,81,4,1,1,NA,1,3,2,2,NA,210,1,4,30,1,740,NA,1,1100,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,145000,1,440,7,7,37300,2,NA,NA,1,3,37300,1,2,4,2,1,1,2,3,0,4,0,0,1,44,0,1,1,1,1,0,1,1377,3,0,1,28,3,13,13,76460
31806,"H",5,4100,3,13,1000000,999480,105,1,1,1,NA,1,3,2,2,NA,200,2,2,3,3,550,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,70000,2,430,1,NA,NA,NA,NA,NA,1,4,189000,0,4,4,4,1,1,1,7,0,NA,0,0,0,3,0,1,0,0,1,1,2,449,NA,0,1,32,NA,NA,NA,77974
31814,"H",5,1900,3,13,1000000,999480,56,1,1,1,NA,1,2,2,2,NA,60,2,2,30,1,380,NA,1,1100,1,1,1,4,NA,NA,1,1,NA,1,1,1,1,NA,175000,1,1,8,NA,NA,NA,NA,NA,1,6,59000,0,4,4,4,1,1,1,1,0,NA,0,0,0,24,0,1,0,0,0,0,1,1190,3,0,1,23,NA,NA,NA,20390
31843,"H",5,1303,3,13,1000000,999480,71,1,1,1,NA,1,4,2,2,NA,120,2,2,30,1,500,NA,1,1100,1,1,1,7,NA,NA,1,1,300,1,1,1,1,NA,170000,2,300,4,NA,NA,NA,NA,NA,1,6,75004,0,4,4,4,1,1,1,3,0,NA,0,0,0,25,0,1,0,0,0,0,1,1575,1,0,1,26,NA,NA,NA,39429
31983,"H",5,3500,3,13,1000000,999480,111,2,1,NA,NA,1,2,8,NA,NA,150,2,2,3,3,NA,NA,NA,NA,NA,NA,1,4,2,780,1,1,NA,1,1,3,1,NA,NA,2,1,9,2,62000,4,930,18,1,1,62000,0,4,4,4,1,1,1,3,0,2,0,0,0,NA,0,1,0,0,0,0,2,NA,NA,1,0,NA,1,3,3,47028
32014,"H",5,1203,3,13,1000000,999480,93,2,1,1,NA,1,3,2,2,NA,130,2,2,3,3,450,NA,1,1200,1,1,1,5,NA,NA,1,1,250,1,1,1,1,NA,160000,1,70,3,NA,NA,NA,NA,NA,1,5,64000,0,4,4,4,1,1,1,5,0,NA,0,1,0,30,0,1,0,0,0,0,1,1586,1,0,1,28,NA,NA,NA,59106
32066,"H",5,3800,3,13,1000000,999480,79,2,1,3,1,1,2,2,1,NA,170,2,2,3,3,1500,NA,1,1200,1,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,275000,3,2,8,1,105000,4,NA,NA,1,1,105000,0,4,4,4,1,1,1,4,0,2,0,0,0,16,0,1,0,0,0,0,2,1370,3,0,0,36,2,1,1,62375
32301,"H",5,1101,3,13,1000000,999480,68,3,1,1,NA,1,4,2,2,NA,170,2,2,60,1,1000,NA,2,730,2,1,1,10,NA,NA,1,1,120,1,1,1,1,NA,435000,2,1000,7,3,51300,4,NA,NA,1,1,51300,0,4,4,4,1,1,1,5,0,3,0,0,0,38,0,1,0,0,1,0,1,1633,2,0,1,58,1,7,7,65927
32387,"H",5,2400,3,13,1000000,999480,73,1,1,2,1,1,2,2,2,NA,190,2,2,3,3,300,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,65000,1,2,3,NA,NA,NA,NA,NA,1,6,9600,0,4,4,4,1,1,1,7,0,NA,0,0,0,35,0,1,0,0,1,1,1,282,NA,0,1,18,NA,NA,NA,56912
32451,"H",5,3900,3,13,1000000,999480,60,4,1,1,NA,1,3,2,2,NA,160,1,2,3,3,360,NA,1,600,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,75000,1,60,4,8,12600,2,NA,NA,1,3,12600,1,2,4,2,1,1,1,4,0,4,1,0,3,73,0,1,0,1,0,0,1,765,3,0,1,13,0,15,15,44684
32488,"H",5,3200,3,13,1000000,999480,127,1,1,1,NA,1,2,2,2,NA,100,1,2,3,3,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,1,NA,1,2,4,1,NA,NA,1,2,2,NA,NA,NA,NA,NA,1,4,22000,0,4,4,4,1,1,1,4,0,NA,0,0,0,NA,0,1,0,0,0,0,2,NA,NA,1,0,NA,NA,NA,NA,37897
32517,"H",5,3300,3,13,1000000,999480,42,2,1,1,NA,1,3,2,2,NA,200,2,2,100,1,1200,NA,NA,NA,NA,3,1,7,NA,NA,1,1,NA,1,1,2,1,NA,176000,2,460,6,3,31804,4,NA,NA,1,1,31804,0,4,4,4,1,1,1,6,0,2,0,0,0,21,0,1,0,0,2,0,1,555,NA,0,1,26,2,5,7,77872
32754,"H",5,1303,3,13,1000000,999480,55,1,1,NA,NA,1,2,7,NA,NA,50,2,2,50,2,NA,NA,NA,NA,NA,NA,1,3,2,1200,1,1,NA,1,1,3,1,NA,NA,1,1,10,NA,NA,NA,1300,52,1,6,30000,0,4,4,4,1,1,1,3,0,NA,0,0,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,14863
32848,"H",5,1505,3,13,1000000,999480,58,4,1,NA,NA,1,2,7,NA,NA,100,2,2,3,3,NA,NA,NA,NA,NA,NA,1,3,2,1000,1,1,NA,1,1,3,1,NA,NA,1,600,7,3,32500,2,1150,42,4,1,32500,0,2,2,2,1,1,1,3,2,4,0,0,2,NA,0,1,0,1,0,0,1,NA,NA,1,0,NA,1,6,7,34311
32915,"H",5,300,3,13,1000000,999480,88,2,1,2,1,1,3,2,2,NA,260,2,2,3,3,700,NA,NA,NA,NA,3,1,7,NA,NA,1,1,NA,1,1,2,1,NA,200000,2,2,7,4,14300,4,NA,NA,1,1,14300,0,4,4,4,1,1,1,5,0,2,0,0,0,34,0,1,0,0,2,2,1,401,NA,0,1,22,0,9,9,71802
32940,"H",5,1303,3,13,1000000,999480,249,3,1,NA,NA,1,3,7,NA,NA,80,2,2,250,1,NA,NA,NA,NA,NA,NA,1,5,2,800,1,1,NA,1,1,3,1,NA,NA,1,600,4,7,12000,2,1180,101,5,3,12000,0,2,2,2,1,1,1,1,2,3,0,0,2,NA,0,1,0,1,0,0,2,NA,NA,1,0,NA,1,14,14,19725
32951,"H",5,1305,3,13,1000000,999480,85,2,1,1,NA,1,4,2,2,NA,120,2,2,80,1,500,NA,1,1400,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,180000,3,30,7,NA,NA,NA,NA,NA,1,7,71000,0,4,4,4,1,1,1,4,0,NA,0,1,0,27,4,1,0,0,0,0,1,1603,3,0,1,25,NA,NA,NA,42786
32962,"H",5,500,3,13,1000000,999480,87,3,1,2,1,1,3,2,2,NA,210,2,2,30,1,800,NA,2,850,2,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,195000,2,250,6,7,68200,2,NA,NA,1,3,68200,0,2,2,2,1,1,1,6,1,3,0,0,1,23,0,1,0,1,0,0,1,1303,3,0,1,27,3,14,13,66735
32985,"H",5,2200,3,13,1000000,999480,175,2,1,1,NA,1,2,2,2,NA,130,2,2,3,3,500,NA,NA,NA,NA,3,1,5,NA,NA,1,1,NA,1,1,2,1,NA,100000,2,600,5,4,12000,4,NA,NA,1,1,12000,0,4,4,4,1,1,1,6,0,2,0,0,0,31,0,1,0,0,1,0,2,305,NA,0,1,22,0,9,9,36273
33021,"H",5,3400,3,13,1000000,999480,105,2,1,1,NA,1,4,2,2,NA,210,2,2,40,1,1900,NA,NA,NA,NA,3,1,8,NA,NA,1,1,NA,1,1,2,1,NA,275000,2,580,6,2,46700,4,NA,NA,1,1,46700,0,4,4,4,1,1,1,6,0,2,0,0,0,20,0,1,0,0,1,0,1,783,NA,0,1,51,1,6,6,67912
33032,"H",5,400,3,13,1000000,999480,71,4,1,2,1,1,3,2,2,NA,220,2,2,3,3,600,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,200000,5,500,6,1,138000,4,NA,NA,1,1,138000,0,4,4,4,1,1,1,5,0,4,0,0,0,5,0,1,0,0,0,0,1,529,NA,0,1,38,3,1,1,88238
33099,"H",5,1401,3,13,1000000,999480,69,2,1,2,1,1,3,2,2,NA,220,2,1200,100,2,500,NA,1,1300,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,150000,3,240,6,1,66000,4,NA,NA,1,1,66000,0,4,4,4,1,1,1,5,0,2,0,0,0,32,0,1,0,0,0,0,1,1740,3,0,1,27,2,1,1,83109
33217,"H",5,1201,3,13,1000000,999480,93,1,1,NA,NA,1,2,6,NA,NA,50,1,2,110,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,1,NA,1,1,4,1,NA,NA,0,300,4,NA,NA,NA,NA,NA,1,4,8100,0,4,4,4,1,1,1,5,0,NA,0,0,0,NA,0,1,0,0,0,0,2,NA,NA,1,0,NA,NA,NA,NA,19059
33437,"H",5,1303,3,13,1000000,999480,79,1,1,1,NA,1,3,2,2,NA,90,2,2,340,1,1200,NA,2,700,2,1,1,8,NA,NA,1,1,150,1,1,1,1,NA,400000,1,450,7,NA,NA,NA,NA,NA,1,4,388000,0,4,4,4,1,1,1,5,0,NA,0,0,0,5,0,1,0,0,0,0,2,1710,2,0,1,47,NA,NA,NA,30865
33633,"H",5,1502,3,13,1000000,999480,61,4,1,1,NA,1,5,2,2,NA,70,2,2,50,1,1200,NA,1,1200,1,1,1,6,NA,NA,1,1,300,1,1,1,1,NA,280000,2,350,9,2,48000,3,NA,NA,4,1,48000,0,1,1,1,1,2,1,3,2,4,0,0,2,41,0,1,0,1,0,0,1,1649,2,0,1,42,1,3,3,29439
33669,"H",5,400,3,13,1000000,999480,68,6,1,2,1,1,3,2,2,NA,330,2,150,40,3,2500,NA,1,4200,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,800000,3,1000,9,1,113100,3,NA,NA,1,1,113100,0,3,3,3,1,1,1,3,4,6,0,0,4,50,0,1,0,1,0,0,1,4666,3,0,1,64,2,2,1,90728
33672,"H",5,1505,3,13,1000000,999480,81,2,1,1,NA,1,4,2,2,NA,190,2,90,40,1,700,NA,2,740,2,1,1,7,NA,NA,1,1,NA,1,1,1,1,NA,175000,2,710,7,1,166000,4,NA,NA,1,1,166000,0,4,4,4,1,1,1,5,0,2,0,0,0,9,0,1,0,0,0,0,1,1256,3,0,1,31,2,1,1,49116
33754,"H",5,1305,3,13,1000000,999480,160,3,1,1,NA,1,7,2,2,NA,300,2,2,3,3,500,NA,1,1300,1,1,1,10,NA,NA,1,1,NA,1,1,1,1,NA,204000,2,600,12,1,84000,2,NA,NA,1,1,84000,0,1,1,1,1,1,1,1,1,3,0,0,1,24,0,1,0,1,0,0,2,1650,3,0,1,24,2,1,1,101224
33807,"H",5,700,3,13,1000000,999480,68,1,1,1,NA,1,3,2,2,NA,80,2,2,50,1,550,NA,1,530,1,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,120000,1,320,9,NA,NA,NA,NA,NA,1,6,13600,0,4,4,4,1,1,1,3,0,NA,0,0,0,61,0,1,0,0,1,0,2,687,3,0,1,21,NA,NA,NA,28732
33991,"H",5,3000,3,13,1000000,999480,75,1,1,1,NA,1,3,2,2,NA,120,2,2,40,1,800,NA,1,650,1,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,70000,3,50,3,NA,NA,NA,NA,NA,1,4,26000,0,4,4,4,1,1,1,5,0,NA,0,0,0,38,0,1,0,0,0,0,2,814,3,0,1,25,NA,NA,NA,38487
33996,"H",5,300,3,13,1000000,999480,55,1,1,3,1,1,2,2,2,NA,140,2,2,3,3,500,NA,NA,NA,NA,3,1,4,NA,NA,1,1,NA,1,1,2,1,NA,150000,1,380,5,NA,NA,NA,NA,NA,1,6,26100,0,4,4,4,1,1,1,6,0,NA,0,0,0,10,0,1,0,0,1,1,1,215,NA,0,0,2,NA,NA,NA,55837
34046,"H",5,1900,3,13,1000000,999480,73,2,1,2,1,1,3,2,2,NA,100,2,2,80,3,0,NA,2,640,1,1,1,5,NA,NA,1,1,150,1,1,1,1,NA,126000,2,20,6,NA,NA,NA,NA,NA,1,7,70000,0,4,4,4,1,1,1,6,0,NA,0,1,0,17,3,1,0,0,2,0,1,972,2,0,1,23,NA,NA,NA,32117
34187,"H",5,3200,3,13,1000000,999480,11,2,1,2,1,1,3,2,2,NA,140,2,2,3,3,960,NA,2,300,2,1,1,6,NA,NA,1,1,NA,1,1,1,1,NA,85000,4,2,6,1,145000,4,NA,NA,1,1,145000,0,4,4,4,1,1,1,6,0,2,0,0,0,5,0,1,0,0,0,0,1,599,3,0,1,21,2,1,1,47440
34213,"H",5,1700,3,13,1000000,999480,50,2,1,2,1,1,3,2,2,NA,90,2,2,110,1,820,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,135000,2,240,8,4,36100,4,NA,NA,1,1,36100,0,4,4,4,1,1,1,3,0,2,0,0,0,11,0,1,0,0,2,2,1,334,NA,0,1,13,0,9,9,30357
34367,"H",5,1102,3,13,1000000,999480,68,2,1,2,1,1,4,2,2,NA,300,2,2,250,1,1100,NA,2,3000,1,1,1,10,NA,NA,1,1,NA,1,1,1,1,NA,1200000,2,350,4,1,435000,4,NA,NA,1,1,435000,0,4,4,4,1,1,1,7,0,2,0,0,0,10,0,1,0,0,2,1,1,3671,3,0,1,66,2,4,1,104701
34399,"H",5,3200,3,13,1000000,999480,24,1,1,3,1,1,4,2,2,NA,110,2,2,100,2,0,NA,NA,NA,NA,3,1,6,NA,NA,1,1,NA,1,1,2,1,NA,15000,2,2,1,NA,NA,NA,NA,NA,1,4,8400,0,4,4,4,1,1,1,7,0,NA,0,0,0,34,0,1,0,0,1,1,2,235,NA,0,0,8,NA,NA,NA,37129
34586,"H",5,1201,3,13,1000000,999480,107,1,1,1,NA,1,4,2,2,NA,120,2,2,90,1,1100,NA,2,1700,2,1,1,9,NA,NA,1,1,700,1,1,1,1,NA,385000,1,360,4,NA,NA,NA,NA,NA,3,6,189500,0,4,4,4,1,1,1,7,0,NA,0,0,0,19,0,1,0,0,1,0,1,2982,2,0,1,42,NA,NA,NA,42445
34602,"H",5,1107,3,13,1000000,999480,170,4,1,1,NA,1,4,2,2,NA,130,2,2,120,1,1100,NA,1,2100,2,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,300000,3,600,9,1,134000,4,NA,NA,1,1,134000,0,4,4,4,1,1,1,3,0,4,0,0,0,24,0,1,0,0,0,0,2,2733,3,0,1,52,3,1,1,48461
34619,"H",5,1301,3,13,1000000,999480,96,2,1,1,NA,1,3,2,2,NA,100,2,2,180,1,NA,NA,NA,NA,NA,NA,1,7,2,1200,1,1,NA,1,1,3,1,NA,NA,3,40,6,NA,NA,NA,1483,22,1,7,82700,0,4,4,4,1,1,1,1,0,NA,0,1,0,NA,0,1,0,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,39211
34701,"H",5,2500,3,13,1000000,999480,58,2,1,2,1,1,3,1,2,NA,240,2,2,3,3,400,200,1,400,2,1,1,5,NA,NA,1,1,NA,1,1,1,1,NA,89000,1,2,8,1,34400,4,NA,NA,1,1,34400,0,4,4,4,1,1,1,4,0,2,0,0,0,23,0,1,0,0,0,0,2,657,3,0,0,1,2,4,1,72150
34703,"H",5,4000,3,13,1000000,999480,96,4,1,1,NA,1,3,2,2,NA,90,2,2,180,1,NA,NA,NA,NA,NA,NA,1,4,2,1100,1,1,NA,1,1,3,1,NA,NA,2,780,7,6,0,2,1435,46,3,2,37500,0,3,3,3,1,1,1,3,2,3,0,1,2,NA,2,1,0,1,0,0,2,NA,NA,1,0,NA,0,12,12,29940
34726,"H",5,3000,3,13,1000000,999480,59,3,1,1,NA,1,3,2,2,NA,200,2,2,40,3,1000,NA,1,830,1,1,1,8,NA,NA,1,1,NA,1,1,1,1,NA,110000,2,1000,7,1,40004,1,NA,NA,1,1,40004,0,1,1,1,1,1,1,2,1,3,0,0,1,35,0,1,0,1,0,0,1,1153,3,0,1,22,2,2,1,69438
